70 News,"A WordPress-hosted site that published a false news story, stating that Donald Trump had won the popular vote in the 2016 United States presidential election; the fake story rose to the top in searches for ""final election results"" on Google News.",[10][11]
ABCnews.com.co (defunct),"Owned by Paul Horner. Mimics the URL, design and logo of ABC News (owned by Disney–ABC Television Group).",[12][13]
American News,"Published a false story claiming actor Denzel Washington endorsed Donald Trump for president. The fictional headline led to thousands of people sharing it on Facebook, a prominent example of fake news spreading on the social network prior to the 2016 presidential election.",[14][15][16]
banned.video,"Warned by the US Food and Drug Administration for spreading misinformation on COVID-19 for ""claims on videos posted on your websites that establish the intended use of your products and misleadingly represent them as safe and/or effective for the treatment or prevention of COVID-19.""",[17]
Before It's News,"Cited by U.S. President Donald Trump at his 2016 campaign rallies. Before It's News and InfoWars were described as ""unabashedly unhinged 'news' sites"" in 2014 by The Washington Post following its promotion of conspiracy theories relating to Malaysia Airlines Flight 17.",[18][19][20]
bients.com,"Often spreading fake stories, often of political nature.",[21]
Bipartisan Report,"Once describing itself at ""the internet's largest newspaper"", its content is written from a heavily liberal-biased perspective. It has been described as a clickbait and fake news website by Danny Westneat of The Seattle Times, and its articles have been debunked by PolitiFact and Snopes.",[22][23][24][25][26][20]
bizstandardnews.com (defunct),"Its stories have been mistaken as real-news then shared and cited as real-news. A disclaimer says the stories ""could be true"" because ""reality is so strange nowadays"". But the disclaimer also says it is ""a satirical site designed to parody the 24-hour news cycle.""[27]Its name is similar to the unrelated Indian English-language daily newspaper called Business Standard.",[28][29][30][31][32][33]
Bloomberg.ma (defunct),"Designed to imitate Bloomberg.com. Was used to issue a false report announcing that Twitter had received a US$31 billion takeover offer, resulting in a brief 8% stock price spike of Twitter. The site is now defunct.",[34][35]
The Boston Tribune,"Starting in February 2016, this website spread outright hoaxes.",[36]
Breaking-CNN.com,"Responsible for publishing numerous death hoaxes, including one for former First Lady Barbara Bush one day after her announcement that she would halt all further medical treatment in 2018. Designed to emulate CNN.",[37]
BVA News,,[38][39]
Cairns News (Australia),"Antivaxx propaganda that falsely claimed that two young girls died after receiving a COVID-19 vaccination on the Gold Coast, Australia.[40]",[41]
Celebtricity,"Has falsely claimed that Barack Obama declared a state of emergency in Chicago, Illinois after more than 300 people were shot in one night; that a Wendy's employee put vaginal discharge on a burger as revenge against a partner; and that Bryshere Y. Gray was Jay-Z's son. Contains a ""notorious fauxtire and satire entertainment"" disclaimer which used to read ""the most notorious urban satirical entertainment website in the world"".[42]",[43][42][44]
CBSnews.com.co,"Owned by Paul Horner. Mimics the URL, design and logo of CBS News.",
